ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCSTRPO23N000001718,장소,문화시설,15036866,전진도서총판,,,90802,일반서점,2.64E+18,부산광역시,해운대구,좌동,,1289-2,2635010700,2635055100,2.64E+11,좌동순환로,174,129.1750552,35.17762306,마라525882,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001212,장소,문화시설,14458501,전집도서전문서점,,,90802,일반서점,1.16E+18,서울특별시,영등포구,당산동6가,,304-1,1156011600,1156056000,1.16E+11,당산로,231,126.901865,37.53451363,다사471485,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000005301,장소,문화시설,19500042,전집보고어린이서점,해강점,,90802,일반서점,2.64E+18,부산광역시,해운대구,우동,,1008-5,2635010500,2635052000,2.64E+11,해운대로,428,129.1409493,35.16573046,마라494868,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000005155,장소,문화시설,19499840,점빵365,,,90802,일반서점,4.11E+18,경기도,수원시 팔달구,우만동,,573-8,4111514000,4111572000,4.11E+11,아주로,Jan-41,127.0434718,37.27859294,다사595200,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001332,장소,문화시설,14613391,점프셈교실,,,90802,일반서점,4.15E+18,경기도,용인시 처인구,김량장동,,254-40,4146110100,4146151000,4.15E+11,금령로71번길,12월 22일,127.2049487,37.23628272,다사738153,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001398,장소,문화시설,14682467,점프셈교육,,,90802,일반서점,1.15E+18,서울특별시,양천구,신정동,,1154-5,1147010100,1147064000,1.15E+11,중앙로29길,21,126.8516667,37.51678527,다사427465,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003882,장소,문화시설,19497959,점프셈영통본부,원주점,,90802,일반서점,5.11E+18,강원특별자치도,원주시,단구동,,648-42,5113010700,5113055000,5.11E+11,서원대로,459-1,127.9552732,37.32784202,라사403255,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001903,장소,문화시설,15249608,정관서적,,,90802,일반서점,2.65E+18,부산광역시,사상구,학장동,,272-9,2653010700,2653067000,2.65E+11,가야대로134번길,45,128.987069,35.14759007,마라354846,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002003,장소,문화시설,15380145,정광서점,,,90802,일반서점,4.62E+18,전라남도,순천시,용당동,,291-2,4615011000,4615055000,,,,127.4972757,34.97596443,다라997645,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000233,장소,문화시설,5972333,정글북,,,90802,일반서점,4.67E+18,전라남도,담양군,담양읍,지침리,138-7,4671025023,4671025000,4.67E+11,중앙로,52,126.9831112,35.317763,다마530025,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003320,장소,문화시설,18082657,정글북서점,호매실점,,90802,일반서점,4.11E+18,경기도,수원시 권선구,금곡동,,1085-3,4111313400,4111366200,4.11E+11,금곡로,112,126.9426115,37.27394087,다사505195,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001878,장소,문화시설,15223313,정글북아동도서,,,90802,일반서점,2.72E+18,대구광역시,북구,산격동,,1214-2,2723011100,2723063100,2.72E+11,산격로19길,17,128.6056675,35.8995814,라마997675,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004381,장소,문화시설,19498853,정글북영어서점,,,90802,일반서점,1.14E+18,서울특별시,은평구,증산동,,189-67,1138011000,1138064000,1.14E+11,증산로9길,03월 25일,126.908008,37.58585752,다사477542,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000725,장소,문화시설,14180728,정다운문고,,,90802,일반서점,3.02E+18,대전광역시,대덕구,비래동,,118-4,3023011000,3023053300,3.02E+11,비래서로9번길,86,127.4482775,36.3585808,다바953179,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003816,장소,문화시설,19497819,정록도서,광주서점,,90802,일반서점,4.16E+18,경기도,광주시,장지동,,347-7,4161011100,4161056000,4.16E+11,순암로,82,127.2401426,37.39470764,다사769328,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002033,장소,문화시설,15419301,정록책도서,,,90802,일반서점,2.64E+18,부산광역시,해운대구,우동,,278-8,2635010500,2635051000,2.64E+11,우동3로11번길,42,129.1627202,35.17057926,마라514874,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
